Geography,Total Under 5 years,Total 5 to 9 years,Total 10 to 14 years,Total 15 to 29 years,Total 20 to 24 years,Total 25 to 29 years,Total 30 to 34 years,Total 35 to 39 years,Total 40 to 44 years,Total 45 to 49 years,Total 50 to 54 years,Total 55 to 59 years,Total 60 to 64 years,Total 65 to 69 years,Total 70 to 74 years,Total 75 to 79 years,Total 80 to 84 years,Total 85 years and over,Year,RegionName,State
0500000US12001,5.5,5.5,4.2,9.3,15.0,8.6,6.8,6.1,4.3,4.8,5.4,5.8,5.7,5.0,2.8,2.1,1.1,2.1,2016,Alachua County,Florida
0500000US12005,6.2,6.9,4.9,5.9,6.2,7.3,6.4,6.1,5.8,6.6,7.3,7.8,5.8,6.6,3.2,3.4,2.1,1.4,2016,Bay County,Florida
0500000US12009,4.8,5.0,5.4,5.2,5.6,5.7,5.4,5.2,4.9,6.2,7.5,8.5,7.6,7.1,5.4,4.7,3.2,2.8,2016,Brevard County,Florida
0500000US12011,5.8,5.6,6.2,5.9,5.9,6.8,6.8,6.7,6.6,7.1,7.5,7.1,6.0,5.2,3.8,2.8,1.9,2.5,2016,Broward County,Florida
0500000US12015,3.1,3.6,3.4,4.3,4.1,3.9,3.5,3.2,3.9,4.6,6.3,9.1,8.1,11.6,9.9,7.6,4.7,5.2,2016,Charlotte County,Florida
0500000US12017,3.7,3.9,3.9,4.5,3.5,4.6,3.7,4.0,4.3,4.9,6.5,9.2,8.0,11.1,8.0,6.3,4.8,5.2,2016,Citrus County,Florida
0500000US12019,5.6,7.1,6.4,7.2,5.7,5.6,6.3,5.5,7.7,6.6,8.0,7.0,6.4,5.4,4.0,2.7,1.5,1.4,2016,Clay County,Florida
0500000US12021,4.5,5.2,4.8,5.2,4.7,4.7,4.9,4.8,5.2,5.5,6.0,6.1,7.3,8.2,8.1,6.5,3.9,4.2,2016,Collier County,Florida
0500000US12023,5.7,7.0,5.0,6.9,7.1,5.6,6.5,5.7,5.4,6.6,7.0,5.8,7.6,6.6,3.9,3.0,2.0,2.7,2016,Columbia County,Florida
0500000US12031,6.8,6.3,6.1,5.8,6.9,8.7,7.7,6.6,6.0,6.3,6.8,6.7,6.0,4.9,3.3,2.1,1.5,1.7,2016,Duval County,Florida
0500000US12033,6.1,5.3,6.1,7.5,8.2,7.6,6.4,6.0,5.2,5.5,6.4,7.2,6.1,5.2,4.4,3.1,1.9,1.7,2016,Escambia County,Florida
0500000US12035,3.7,4.1,5.7,6.5,4.3,4.6,4.6,3.6,5.4,6.3,6.0,7.1,7.5,9.9,7.4,6.1,3.9,3.4,2016,Flagler County,Florida
0500000US12053,4.2,5.1,5.6,5.8,4.4,5.3,5.1,5.2,4.3,6.2,6.7,7.8,6.6,8.3,6.8,5.6,3.7,3.3,2016,Hernando County,Florida
0500000US12055,4.3,6.1,4.3,5.6,3.4,4.6,4.6,3.7,4.5,4.4,6.5,7.2,6.8,8.4,8.8,7.8,4.9,4.2,2016,Highlands County,Florida
0500000US12057,6.4,6.5,6.3,6.4,6.5,7.9,7.3,6.8,6.7,6.8,6.9,6.3,5.7,4.6,3.5,2.3,1.8,1.6,2016,Hillsborough County,Florida
0500000US12061,3.5,3.2,5.7,7.9,5.1,4.4,3.6,3.8,3.9,5.8,6.5,5.6,8.9,8.9,8.1,6.1,4.2,4.6,2016,Indian River County,Florida
0500000US12069,5.0,4.9,6.0,5.5,5.2,4.7,5.7,5.2,5.6,6.1,6.4,6.5,6.7,7.9,6.9,5.1,3.7,2.8,2016,Lake County,Florida
0500000US12071,4.8,4.5,5.7,5.2,5.0,5.6,5.3,5.1,5.2,5.8,6.3,6.5,7.6,8.4,7.3,5.0,3.3,3.4,2016,Lee County,Florida
0500000US12073,5.2,4.8,5.4,8.9,16.5,8.1,6.4,5.4,5.5,5.0,5.3,5.4,5.6,4.6,3.3,1.9,1.4,1.3,2016,Leon County,Florida
0500000US12081,5.0,5.7,4.9,5.5,5.0,5.1,4.9,5.4,5.0,6.2,6.5,7.0,7.4,7.7,7.1,4.8,3.4,3.5,2016,Manatee County,Florida
0500000US12083,4.9,5.0,5.8,5.1,4.7,5.7,5.2,4.6,4.7,5.9,6.1,7.4,6.4,7.4,8.4,5.6,3.6,3.5,2016,Marion County,Florida
0500000US12085,4.5,4.4,5.1,6.0,3.8,4.2,4.7,5.4,3.7,5.9,6.8,7.3,7.8,7.3,7.8,6.1,3.7,5.3,2016,Martin County,Florida
0500000US12086,5.8,5.6,5.5,5.7,6.4,7.3,7.1,6.8,7.0,7.2,7.6,6.6,5.4,4.7,3.8,2.9,2.2,2.4,2016,Miami-Dade County,Florida
0500000US12087,5.0,3.6,4.0,5.0,6.5,4.8,6.3,5.7,6.4,6.9,7.9,8.4,7.7,8.4,5.4,3.0,2.6,2.4,2016,Monroe County,Florida
